word,frequency_rank,wcount,log_w,w_cd
关心,792,3926,3.594,2338
底,793,3925,3.5938,2546
干吗,794,3924,3.5937,1610
兴趣,795,3922,3.5935,2347
情,796,3915,3.5927,2496
报告,797,3912,3.5924,1889
从没,798,3907,3.5918,2401
替,799,3906,3.5917,2071
面,800,3906,3.5917,2269
经历,801,3901,3.5912,2278
六,802,3898,3.5908,2070
飞,803,3894,3.5904,1785
老师,804,3879,3.5887,1170
气,805,3864,3.587,2326
不用,806,3859,3.5865,2526
小孩,807,3859,3.5865,1846
人类,808,3857,3.5862,1372
冲,809,3852,3.5857,2091
自由,810,3848,3.5852,1834
支持,811,3841,3.5844,2025
星期,812,3837,3.584,2080
脚,813,3836,3.5839,2058
很快,814,3836,3.5839,2420
毁,815,3836,3.5839,2297
生气,816,3828,3.583,2216
建议,817,3819,3.5819,2332
做到,818,3817,3.5817,2100
套,819,3816,3.5816,2295
哭,820,3813,3.5813,1814
屁股,821,3804,3.5802,1753
生日,822,3800,3.5798,1299
晚安,823,3796,3.5793,1796
否则,824,3796,3.5793,2341
画,825,3795,3.5792,1289
病,826,3793,3.579,1795
线,827,3791,3.5788,1873
光,828,3779,3.5774,2227
安排,829,3776,3.577,2247
神,830,3776,3.577,1590
年轻,831,3776,3.577,2226
操,832,3775,3.5769,1010
下面,833,3771,3.5765,2234
姑娘,834,3765,3.5758,1645
道,835,3757,3.5748,2041
按,836,3752,3.5743,2275
钥匙,837,3751,3.5741,1556
法官,838,3749,3.5739,800
包,839,3748,3.5738,1957
腿,840,3747,3.5737,1873
自,841,3743,3.5732,2220
选手,842,3732,3.5719,647
信息,843,3725,3.5711,1896
整,844,3708,3.5691,2404
投票,845,3701,3.5683,659
哥哥,846,3700,3.5682,1380
手术,847,3695,3.5676,980
必要,848,3695,3.5676,2411
身边,849,3694,3.5675,2324
知,850,3687,3.5667,2275
任何人,851,3672,3.5649,2386
票,852,3664,3.564,1208
撒谎,853,3663,3.5638,1978
武器,854,3654,3.5628,1476
痛苦,855,3648,3.5621,2074
全部,856,3635,3.5605,2204
手机,857,3634,3.5604,1579
忘记,858,3632,3.5601,2202
存在,859,3627,3.5595,2066
首先,860,3624,3.5592,2357
组,861,3623,3.5591,1430
照,862,3617,3.5583,2152
交,863,3614,3.558,2188
以及,864,3610,3.5575,1941
十,865,3610,3.5575,2044
台,866,3604,3.5568,1803
搬,867,3598,3.5561,1868
个人,868,3597,3.5559,2323
代表,869,3586,3.5546,2066
坚持,870,3584,3.5544,2134
意义,871,3580,3.5539,2259
楼,872,3580,3.5539,1787
承认,873,3575,3.5533,2227
发誓,874,3570,3.5527,2209
理由,875,3570,3.5527,2271
显然,876,3566,3.5522,2211
局,877,3563,3.5518,1411
政府,878,3549,3.5501,1451
这次,879,3548,3.55,2316
